,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature,Track_Popularity,Artist_Popularity,Hot
4041,2000,Smash Mouth,Then The Morning Comes,0.736,0.868,5,-4.972,0,0.0289,0.024,0.0,0.0735,0.961,118.599,182267,4,45,71,1
4042,2000,Eiffel 65,Blue (Da Ba Dee),0.822,0.969,7,-11.471,0,0.0582,0.259,0.000162,0.39,0.765,128.007,283748,4,71,65,1
4044,2000,Eminem,The Real Slim Shady,0.95,0.665,5,-4.286,0,0.061,0.0339,0.0,0.0453,0.76,104.504,284200,4,72,96,1
4046,2000,Next,Wifey,0.829,0.652,7,-8.693,0,0.108,0.067,0.0,0.0812,0.726,99.581,243159,4,61,73,1
4047,2000,Everclear,Wonderful,0.514,0.817,7,-6.489,1,0.05,0.0118,8.25e-06,0.346,0.734,186.765,280813,4,55,60,1
4048,2000,Britney Spears,Oops!... I Did It Again,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,211160,4,75,81,1
4049,2000,Jessica Simpson,I Wanna Love You Forever,0.59,0.666,4,-4.047,0,0.0244,0.156,0.0,0.136,0.0743,104.042,263800,4,53,56,1
4051,2000,Filter,Take a Picture,0.446,0.762,2,-8.971,1,0.0422,0.000103,7.2e-05,0.26,0.276,98.993,359520,4,60,55,1
4052,2000,Red Hot Chili Peppers,Otherside,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4,77,85,1
4054,2000,Son by Four,A Puro Dolor,0.56,0.544,0,-10.171,1,0.0465,0.342,0.0,0.203,0.347,149.695,210187,4,60,52,1
4055,2000,Jagged Edge,He Cant Love U,0.721,0.836,8,-3.972,0,0.206,0.112,0.0,0.235,0.508,126.279,244053,4,48,65,1
4056,2000,Avant,Separated,0.793,0.49,0,-6.241,1,0.0273,0.284,0.0,0.262,0.632,108.238,255600,4,55,61,1
4057,2000,Carl Thomas,I Wish,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,226760,4,61,78,1
4058,2000,Donell Jones,U Know Whats Up,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,243733,4,62,63,1
4060,2000,Kid Rock,Only God Knows Why,0.628,0.749,4,-5.18,1,0.03,0.0569,0.00204,0.134,0.31,129.2,327667,4,57,70,1
4061,2000,Mystikal,Shake Ya Ass,0.914,0.607,7,-5.658,1,0.32,0.0626,0.0,0.0515,0.666,98.054,256973,4,52,59,1
4062,2000,Erykah Badu,Bag Lady,0.724,0.416,5,-8.964,0,0.0841,0.365,0.0,0.0969,0.578,151.181,348893,4,52,69,1
4063,2000,Train,Meet Virginia,0.675,0.553,7,-7.775,1,0.0486,0.0863,7.58e-06,0.118,0.594,90.02,239933,4,66,81,1
4064,2000,DMX,Party Up (Up in Here),0.736,0.834,1,-3.052,0,0.0969,0.077,0.0,0.407,0.234,100.979,297040,4,53,73,1
4065,2000,Mýa,Case of the Ex,0.78,0.69,1,-4.958,0,0.0445,0.0565,8.19e-05,0.0716,0.341,98.002,236827,4,54,66,1
4067,2000,Jo Dee Messina,Thats the Way,0.488,0.923,2,-3.697,1,0.103,0.129,0.0,0.158,0.818,183.891,202253,4,30,59,1
4068,2000,Westlife,Swear It Again,0.626,0.532,9,-7.205,1,0.0276,0.296,0.0,0.123,0.33,130.076,247933,4,65,73,1
4070,2000,Britney Spears,From the Bottom of My Broken Heart,0.677,0.665,7,-5.171,1,0.0305,0.56,1.01e-06,0.338,0.706,74.981,312533,4,51,81,1
4071,2000,Savage Garden,Crash and Burn,0.581,0.607,4,-8.458,1,0.028,0.189,1.6e-06,0.0882,0.213,102.03,281467,4,39,67,1
4072,2000,Chad Brock,Yes!,0.674,0.623,2,-5.97,1,0.0283,0.00408,5.61e-05,0.0488,0.452,126.547,206733,4,46,37,1
4073,2000,George Strait,The Best Day,0.642,0.502,9,-5.059,1,0.0296,0.655,0.0,0.27,0.356,132.362,204067,4,44,73,1
4074,2000,Donell Jones,Where I Wanna Be,0.664,0.396,5,-9.131,0,0.0298,0.52,0.0,0.268,0.453,102.053,253627,4,61,63,1
4075,2000,Toby Keith,How Do You Like Me Now?!,0.632,0.83,0,-4.665,1,0.0463,0.0807,7.47e-06,0.123,0.69,109.387,205920,4,55,69,1
4076,2000,Tim McGraw,My Best Friend,0.444,0.484,9,-8.311,1,0.0289,0.12,0.0,0.135,0.263,147.715,279867,4,55,75,1
4077,2000,Goo Goo Dolls,Broadway,0.504,0.901,11,-3.776,1,0.0491,0.000807,0.0,0.0839,0.755,132.729,238333,4,45,73,1
4079,2000,Kandi,Dont Think Im Not,0.859,0.622,11,-8.196,1,0.0445,0.0661,0.0,0.0394,0.433,134.007,243533,4,49,46,1
4080,2000,Lee Ann Womack,I Hope You Dance,0.416,0.446,7,-9.557,0,0.0291,0.0524,0.0,0.0891,0.278,151.328,294533,4,61,54,1
4081,2000,Alice Deejay,Better Off Alone,0.674,0.772,8,-9.69,0,0.0659,0.00352,0.8,0.256,0.762,136.969,218493,4,53,48,1
4082,2000,Debelah Morgan,Dance with Me,0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,220107,4,58,50,1
4083,2000,Lonestar,What About Now,0.739,0.688,4,-5.581,1,0.0349,0.498,0.0,0.17,0.769,126.998,211253,4,45,62,1
4084,2000,Sammie,I Like It,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,251040,4,26,55,1
4085,2000,Kevon Edmonds,24/7,0.696,0.627,4,-5.629,1,0.0334,0.0685,0.0,0.0993,0.322,116.047,274267,4,50,44,1
4086,2000,LFO,Girl on TV,0.688,0.716,4,-4.001,0,0.0297,0.131,0.0,0.134,0.352,96.043,247600,4,45,47,1
4088,2000,Dixie Chicks,Cowboy Take Me Away,0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418,287267,4,65,68,1
4089,2000,Aaliyah,I Dont Wanna,0.705,0.572,9,-5.603,0,0.0349,0.537,0.0,0.226,0.653,129.999,255093,4,55,62,1
4091,2000,Samantha Mumba,Gotta Tell You,0.729,0.752,0,-4.478,0,0.028,0.229,0.0,0.19,0.792,110.007,201067,4,43,45,1
4092,2000,Jennifer Lopez,Waiting for Tonight,0.694,0.941,10,-6.108,0,0.0408,0.00224,0.0826,0.109,0.854,125.014,246507,4,59,80,1
4093,2000,Mary Mary,Shackles (Praise You),0.779,0.834,7,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46,198347,4,59,72,1
4094,2001,Lifehouse,Hanging by a Moment,0.531,0.855,1,-4.95,1,0.0352,0.000983,0.0,0.0716,0.424,124.578,216067,4,62,68,1
4095,2001,Alicia Keys,Fallin,0.653,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,95.982,210200,3,74,79,1
4096,2001,Janet Jackson,All for You,0.776,0.88,2,-4.67,1,0.121,0.0118,0.0295,0.301,0.725,113.503,272387,3,64,58,1
4099,2001,Matchbox Twenty,If Youre Gone,0.544,0.659,9,-7.191,1,0.0298,0.427,1.33e-06,0.126,0.361,109.933,274933,4,62,70,1
4101,2001,Dido,Thank You,0.722,0.595,1,-9.928,0,0.0415,0.284,0.000538,0.0694,0.738,79.98,217827,4,36,70,1
4102,2001,Lenny Kravitz,Again,0.554,0.82,2,-5.035,1,0.0296,0.0186,4.91e-05,0.161,0.755,79.155,228933,4,67,70,1
4104,2001,Blu Cantrell,Hit Em Up Style (Oops!),0.7,0.774,5,-4.983,0,0.0466,0.2,0.0,0.404,0.652,90.0,250707,4,63,58,1
4107,2001,Staind,Its Been Awhile,0.509,0.774,6,-4.054,1,0.0338,0.00189,0.000549,0.143,0.0824,116.529,264707,4,63,67,1
4108,2001,Usher,U Remind Me,0.657,0.629,6,-4.938,1,0.0782,0.194,0.0,0.254,0.726,93.985,266893,4,75,82,1
4112,2001,Uncle Kracker,Follow Me,0.817,0.585,5,-4.688,1,0.0301,0.439,0.0,0.147,0.916,105.014,218440,4,72,63,1
4113,2001,112,Peaches & Cream,0.677,0.52,4,-6.255,0,0.334,0.00277,0.0,0.0532,0.768,203.862,193093,4,66,69,1
4114,2001,Incubus,Drive,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453,4,70,67,1
4115,2001,City High,What Would You Do?,0.732,0.793,7,-7.053,1,0.24,0.278,0.0,0.418,0.821,95.918,175560,4,51,47,1
4118,2001,OutKast,Ms. Jackson,0.843,0.805,4,-5.946,0,0.269,0.142,0.0,0.0771,0.615,94.946,270507,4,77,76,1
4119,2001,Jennifer Lopez,Love Dont Cost a Thing,0.786,0.842,4,-5.115,0,0.0707,0.00305,3.54e-06,0.473,0.685,97.577,221227,4,58,80,1
4122,2001,Crazy Town,Butterfly,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,216733,4,71,60,1
4124,2001,Mary J. Blige,Family Affair,0.925,0.56,8,-3.795,0,0.0436,0.138,1.19e-05,0.0861,0.966,92.895,265867,4,47,63,1
4127,2001,Madonna,Dont Tell Me,0.699,0.618,7,-7.338,1,0.0594,0.0502,0.000925,0.0914,0.679,99.965,280973,4,40,78,1
4128,2001,Missy Elliott,Get Ur Freak On,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,211120,4,72,76,1
4129,2001,K-Ci & JoJo,Crazy,0.683,0.664,0,-4.422,1,0.0264,0.092,0.0,0.595,0.446,116.141,260267,4,59,61,1
4130,2001,Craig David,Fill Me In,0.683,0.748,8,-6.981,1,0.0366,0.373,0.00881,0.06,0.828,132.486,257200,4,50,73,1
4131,2001,Janet Jackson,Someone to Call My Lover,0.729,0.914,2,-4.043,1,0.041,0.135,0.000672,0.156,0.921,127.907,272360,4,43,70,1
4134,2001,O-Town,All or Nothing,0.641,0.453,0,-4.98,1,0.0281,0.262,0.0,0.284,0.216,126.872,248867,4,30,53,1
4136,2001,Nelly Furtado,Im Like a Bird,0.616,0.633,10,-5.076,1,0.0383,0.147,1.48e-06,0.288,0.58,89.644,243160,4,71,74,1
4139,2001,Sugar Ray,When Its Over,0.677,0.771,4,-5.852,1,0.0471,0.0465,0.0,0.165,0.936,99.91,218333,4,53,63,1
4140,2001,Aerosmith,Jaded,0.517,0.89,9,-4.033,1,0.0539,0.005,1.47e-05,0.0824,0.632,118.009,214333,4,60,78,1
4141,2001,Jagged Edge,Promise,0.751,0.568,5,-5.431,0,0.0872,0.136,0.0,0.0288,0.646,128.002,246720,4,55,65,1
4142,2001,Case,Missing You,0.616,0.552,1,-7.405,0,0.0439,0.283,0.0,0.0437,0.774,86.299,284760,4,17,39,1
4143,2001,Ginuwine,Differences,0.562,0.594,3,-4.578,0,0.0558,0.318,0.0,0.311,0.423,62.876,265533,4,69,68,1
4147,2001,Evan and Jaron,Crazy for This Girl,0.457,0.926,0,-5.461,1,0.038,0.000487,5.69e-05,0.0949,0.41,93.964,202027,4,55,45,1
4152,2001,Enya,Only Time,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,218547,4,69,75,1
4153,2001,Toya,I Do!!,0.781,0.583,6,-7.83,0,0.0628,0.0859,0.00216,0.058,0.91,156.264,213493,4,46,54,1
4154,2001,S Club 7,Never Had a Dream Come True,0.636,0.531,5,-5.593,1,0.0273,0.508,0.0,0.0952,0.496,122.918,240640,4,50,62,1
4155,2001,Tamia,Stranger in My House,0.676,0.601,0,-4.905,1,0.0297,0.103,0.0,0.147,0.206,119.94,285387,4,46,65,1
4156,2001,Jessica Simpson,Irresistible,0.659,0.966,8,-2.783,0,0.0538,0.0279,8.25e-05,0.0489,0.687,93.008,193600,4,42,56,1
4157,2001,Sunshine Anderson,Heard It All Before,0.698,0.925,3,-4.209,0,0.222,0.0611,0.0,0.095,0.676,96.953,295827,4,52,40,1
4158,2001,Dave Matthews Band,The Space Between,0.406,0.73,9,-6.278,1,0.0315,0.0471,0.0,0.229,0.207,170.032,242000,4,53,70,1
4159,2001,Faith Hill,There Youll Be,0.325,0.532,8,-7.208,1,0.0308,0.496,0.0,0.134,0.162,129.021,220840,4,53,66,1
4160,2001,Musiq Soulchild,Love,0.463,0.395,6,-9.944,0,0.055,0.369,0.0,0.107,0.351,98.656,304667,4,52,62,1
4161,2001,112,Its Over Now,0.66,0.71,1,-4.541,1,0.0409,0.0106,7.01e-06,0.0736,0.233,97.988,264933,4,49,69,1
4162,2001,3LW,No More (Baby Ima Do Right),0.721,0.723,2,-7.08,0,0.0631,0.102,4.4e-06,0.0651,0.761,88.933,263440,4,59,49,1
4163,2001,Nelly Furtado,Turn Off the Light,0.712,0.673,2,-6.257,1,0.0553,0.0709,0.000205,0.458,0.696,90.164,276107,4,44,74,1
4164,2001,Brooks & Dunn,Aint Nothing bout You,0.326,0.887,9,-4.199,0,0.0565,0.144,1.35e-06,0.49,0.706,202.354,199274,4,53,68,1
4165,2001,Jennifer Lopez,Play,0.775,0.729,1,-4.229,0,0.162,0.0303,0.00247,0.0361,0.895,104.719,211493,4,50,80,1
4166,2001,Lonestar,Im Already There,0.377,0.395,3,-8.622,1,0.0332,0.61,0.0,0.295,0.221,133.296,253373,4,60,62,1
4167,2001,Lil Romeo,My Baby,0.82,0.761,1,-2.714,1,0.219,0.0481,0.0,0.218,0.584,97.423,221000,4,32,21,1
4168,2001,U2,Beautiful Day,0.537,0.921,2,-6.474,1,0.0481,0.0144,0.00479,0.382,0.467,136.264,248067,4,63,80,1
4169,2001,Blake Shelton,Austin,0.605,0.609,7,-7.063,1,0.0278,0.188,0.0,0.0982,0.275,119.914,230333,4,60,74,1
4170,2001,Ludacris,Southern Hospitality,0.628,0.9,0,-4.877,1,0.258,0.043,0.0,0.0884,0.625,94.992,300933,4,50,77,1
4171,2001,Tim McGraw,Grown Men Dont Cry,0.657,0.513,10,-8.514,1,0.024,0.199,0.0,0.0994,0.56,101.815,235760,4,44,75,1
4175,2001,Jessica Andrews,Who I Am,0.419,0.671,7,-5.364,1,0.0312,0.0125,0.0,0.115,0.311,83.908,255234,4,50,41,1
4177,2001,Willa Ford,I Wanna Be Bad,0.647,0.818,9,-3.47,0,0.0647,0.234,1.89e-05,0.216,0.816,180.019,183560,4,47,36,1
4178,2001,Kenny Chesney,Dont Happen Twice,0.499,0.708,7,-7.029,1,0.0301,0.00626,1.15e-05,0.0423,0.617,158.785,203067,4,51,75,1
4179,2001,Diamond Rio,One More Day,0.667,0.349,4,-9.844,1,0.0288,0.639,0.0,0.123,0.244,131.117,216040,4,56,58,1
4180,2001,R. Kelly,I Wish,0.42,0.463,6,-9.056,1,0.12,0.068,0.0,0.119,0.659,78.83,334000,4,61,78,1
4181,2001,Travis Tritt,Its a Great Day to Be Alive,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,241533,4,67,64,1
4182,2001,Trick Daddy,Im a Thug,0.933,0.562,11,-5.963,1,0.122,0.0275,0.0,0.102,0.587,139.981,254400,4,56,61,1
4183,2001,Eve 6,Heres to the Night,0.583,0.652,7,-6.255,1,0.0244,0.0405,0.000378,0.0781,0.352,97.469,249840,4,57,57,1
4184,2001,Toby Keith,You Shouldnt Kiss Me Like This,0.414,0.768,7,-4.262,1,0.0391,0.395,8.21e-06,0.256,0.336,168.574,221067,4,46,69,1
4187,2001,Outkast,So Fresh So Clean,0.725,0.64,5,-7.905,0,0.332,0.0278,0.0,0.099,0.915,166.029,240027,3,65,76,1
4188,2001,Nelly,E.I.,0.835,0.497,2,-7.876,0,0.16,0.0884,0.0,0.0777,0.373,89.861,285907,4,55,77,1
4189,2001,3 Doors Down,Be Like That,0.487,0.702,7,-6.043,1,0.0238,0.00536,4.93e-06,0.129,0.306,95.973,265907,4,57,73,1
4192,2001,Enrique Iglesias,Hero,0.567,0.65,7,-5.478,1,0.0447,0.135,1.94e-05,0.11,0.154,76.036,264600,4,70,83,1
4193,2001,Fuel,Hemorrhage (In My Hands),0.315,0.829,1,-4.117,1,0.0422,0.000142,0.00077,0.217,0.34,152.135,237347,4,62,60,1
4194,2002,Nickelback,How You Remind Me,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,223840,4,78,78,1
4195,2002,Ashanti,Foolish,0.477,0.728,0,-5.71,1,0.0831,0.358,0.0,0.11,0.69,89.209,227387,4,71,73,1
